Session	TimeTaken(s)
2	GivensxPotter	37.30
2	CarlsonxHouseholder	20.20
Session	TimeTaken(s)
2	GivensxPotter	22.62
2	CarlsonxHouseholder	20.92
Session	TimeTaken(s)
2	GivensxPotter	22.92
2	CarlsonxHouseholder	20.62
Session	TimeTaken(s)
2	GivensxPotter	23.86
2	CarlsonxHouseholder	20.50
Session	TimeTaken(s)
2	GivensxPotter	23.96
2	CarlsonxHouseholder	20.78
Session	TimeTaken(s)
2	GivensxPotter	31.66
3	GivensxPotter	36.32
4	GivensxPotter	51.66
5	GivensxPotter	45.56
6	GivensxPotter	52.10
7	GivensxPotter	38.63
8	GivensxPotter	50.77
9	GivensxPotter	47.58
10	GivensxPotter	47.44
11	GivensxPotter	26.85
12	GivensxPotter	39.78
13	GivensxPotter	43.74
14	GivensxPotter	47.72
15	GivensxPotter	47.59
16	GivensxPotter	48.66
17	GivensxPotter	49.03
18	GivensxPotter	41.27
19	GivensxPotter	44.34
20	GivensxPotter	46.93
2	CarlsonxHouseholder	26.71
3	CarlsonxHouseholder	31.01
4	CarlsonxHouseholder	44.01
5	CarlsonxHouseholder	39.25
6	CarlsonxHouseholder	46.88
7	CarlsonxHouseholder	32.91
8	CarlsonxHouseholder	44.88
9	CarlsonxHouseholder	43.43
10	CarlsonxHouseholder	45.82
11	CarlsonxHouseholder	25.89
12	CarlsonxHouseholder	36.91
13	CarlsonxHouseholder	40.18
14	CarlsonxHouseholder	44.49
15	CarlsonxHouseholder	46.59
16	CarlsonxHouseholder	45.85
17	CarlsonxHouseholder	44.52
18	CarlsonxHouseholder	37.97
19	CarlsonxHouseholder	40.49
20	CarlsonxHouseholder	41.23
Session	TimeTaken(s)
2	CarlsonxHouseholder	20.37
3	CarlsonxHouseholder	23.30
4	CarlsonxHouseholder	34.21
5	CarlsonxHouseholder	30.38
6	CarlsonxHouseholder	35.38
7	CarlsonxHouseholder	24.84
8	CarlsonxHouseholder	33.07
9	CarlsonxHouseholder	31.37
10	CarlsonxHouseholder	31.73
11	CarlsonxHouseholder	19.40
12	CarlsonxHouseholder	27.01
13	CarlsonxHouseholder	29.94
14	CarlsonxHouseholder	32.54
15	CarlsonxHouseholder	32.01
16	CarlsonxHouseholder	33.98
17	CarlsonxHouseholder	35.33
18	CarlsonxHouseholder	27.59
19	CarlsonxHouseholder	32.11
20	CarlsonxHouseholder	31.16
Session	TimeTaken(s)
2	GivensxPotter	44.17
3	GivensxPotter	43.82
4	GivensxPotter	62.50
5	GivensxPotter	60.32
6	GivensxPotter	63.76
7	GivensxPotter	47.96
8	GivensxPotter	57.09
9	GivensxPotter	65.78
10	GivensxPotter	65.11
11	GivensxPotter	35.06
12	GivensxPotter	57.55
13	GivensxPotter	58.42
14	GivensxPotter	62.26
15	GivensxPotter	57.81
16	GivensxPotter	60.12
17	GivensxPotter	73.28
18	GivensxPotter	51.60
19	GivensxPotter	59.66
20	GivensxPotter	55.46
2	CarlsonxHouseholder	23.28
3	CarlsonxHouseholder	25.72
4	CarlsonxHouseholder	37.48
5	CarlsonxHouseholder	32.87
6	CarlsonxHouseholder	39.50
7	CarlsonxHouseholder	28.86
8	CarlsonxHouseholder	37.46
9	CarlsonxHouseholder	38.88
10	CarlsonxHouseholder	38.40
11	CarlsonxHouseholder	23.63
12	CarlsonxHouseholder	55.32
13	CarlsonxHouseholder	32.60
14	CarlsonxHouseholder	42.55
15	CarlsonxHouseholder	39.32
16	CarlsonxHouseholder	43.48
17	CarlsonxHouseholder	39.46
18	CarlsonxHouseholder	31.06
19	CarlsonxHouseholder	34.31
20	CarlsonxHouseholder	36.20
